value,"Temperature, K",property,unit,cmp_ids_solvent,cmp_mole_fractions_solvent,cmp_ids_drug,cmp_mole_fractions_drug,Solvent1_id,Solvent1_frac,Solvent2_id,Solvent2_frac,Solvent1_name,Solvent2_name,drug_mol,Solvent1_smiles,Solvent2_smiles,Solvent1_mol,Solvent2_mol,drug_HBA,drug_HBD,drug_logP,drug_TPSA,Solvent1_HBA,Solvent1_HBD,Solvent1_logP,Solvent1_TPSA,Solvent2_HBA,Solvent2_HBD,Solvent2_logP,Solvent2_TPSA,Solvent1_Dielectric,Solvent1_δD,Solvent1_δP,Solvent1_δH,Solvent2_Dielectric,Solvent2_δD,Solvent2_δP,Solvent2_δH,drug_δD,drug_δP,drug_δH,Solvent1_Solvent2_Ra,drug_Dielectric,drug_fp,Solvent1_fp,Solvent2_fp,ILR_coordinate,weighted_HBA,weighted_HBD,weighted_logP,weighted_TPSA,weighted_Dielectric,weighted_fp
-2.5504,278.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FBD10>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208789F8D60>,<rdkit.Chem.rdchem.Mol object at 0x00000208793E75A0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,35.116570656728335,16.056910569105693,8.943089430894311,22.766110897241116,85.76291375,15.752032520325205,16.260162601626018,49.63950984295357,17.276422764227643,8.130081300813009,8.214576096942672,27.85840866201395,8.326486193539106,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020873DA2B90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020873DA2A40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799889E0>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,83.65329097479285,[0. 0. 0. ... 0. 0. 0.]
-2.4363,283.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F8A50>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E5150>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF3530>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,32.09412904296456,15.991902834008098,8.906882591093119,21.873438920639888,83.83175999999999,15.68825910931174,16.194331983805668,47.69311682180759,17.206477732793523,8.097165991902834,7.892477961,26.83526567070996,8.243636271628136,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020873DA2180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3D10>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,81.67668072011563,[0. 0. 0. ... 0. 0. 0.]
-2.3225,288.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FB370>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E70D0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF3D10>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,29.331825396484348,15.92741935483871,8.870967741935484,21.015769112894198,81.94548125,15.625,16.129032258064516,45.823042962650746,17.137096774193548,8.064516129032258,7.583009473724711,25.854325870960757,8.161610720214046,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020877979EE0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3D80>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,79.75391202907765,[0. 0. 0. ... 0. 0. 0.]
-2.2058,293.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FB4C0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7450>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1B60>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,26.807269950777656,15.863453815261046,8.835341365461849,20.191729019332328,80.10301999999999,15.562248995983936,16.06425702811245,44.026295748338015,17.06827309236948,8.032128514056225,7.285675419346718,24.913985835063865,8.080401336673344,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020877979D90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3DF0>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,77.88303882744967,[0. 0. 0. ... 0. 0. 0.]
-2.0983,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FB530>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E67A0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1E00>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,24.5,15.8,8.8,19.4,78.30331874999999,15.5,16,42.3,17,8,7,24.012704970494262,8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208779784A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3E60>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,76.06219531078747,[0. 0. 0. ... 0. 0. 0.]
-1.9922,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FAFF0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7370>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF14D0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,22.39131403914509,15.737051792828685,8.764940239043826,18.639315119555068,76.54531999999999,15.43824701195219,15.936254980079681,40.64139327614327,16.932270916334662,7.968127490039841,6.725526074066262,23.14900290535021,7.920398669993345,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF1850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799887B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3ED0>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,74.28958903570653,[0. 0. 0. ... 0. 0. 0.]
-1.8907,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FB140>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7290>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF2FF0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,20.464120179576163,15.674603174603176,8.730158730158731,17.90845711990073,74.82796625,15.376984126984127,15.873015873015873,39.04782145215469,16.865079365079367,7.936507936507937,6.461814425,22.321456962417553,7.841589386454042,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793B3F40>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,72.56349460578257,[0. 0. 0. ... 0. 0. 0.]
-1.7915,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FB1B0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7ED0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1AF0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,18.702797611252905,15.612648221343873,8.695652173913043,17.206256472312855,73.1502,15.316205533596838,15.810276679841897,37.516734473135756,16.798418972332016,7.905138339920948,6.208443057020102,21.528699718068186,7.763564268388065,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF25E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799886D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394040>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,70.88224790089913,[0. 0. 0. ... 0. 0. 0.]
-1.6923,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FAC70>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7D80>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1C40>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,17.09306998874026,15.551181102362206,8.661417322834646,16.53158951,71.51096374999999,15.255905511811024,15.748031496062993,36.045682273270735,16.73228346456693,7.874015748031496,5.965006522763479,20.76941664249423,7.686315513218585,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2260>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793940B0>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,69.24424080326847,[0. 0. 0. ... 0. 0. 0.]
-1.6008,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.041654, 0.9583459999999999]",[49],[1.0],130,0.041654,129,0.9583459999999999,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FADC0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E6EA0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF18C0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,15.621889714733447,15.490196078431373,8.627450980392156,15.883376609712846,69.90920000000001,15.196078431372548,15.686274509803921,34.632310855198625,16.666666666666664,7.8431372549019605,5.731115271545873,20.04234381808106,7.609835396005712,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2EA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799885F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394120>,-2.217353562,0.041654,0.041654,-0.790406262,31.03055942,67.64791637737751,[0. 0. 0. ... 0. 0. 0.]
