value,"Temperature, K",property,unit,cmp_ids_solvent,cmp_mole_fractions_solvent,cmp_ids_drug,cmp_mole_fractions_drug
1.0164,278.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.0601,283.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.1007,288.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.1285,293.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.1586,298.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.192,303.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.2182,308.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.2498,313.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.2768,318.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.3123,323.15,Log solubility,g/L,"[125.0, 131.0]","[0.08378500000000001, 0.916215]",[0],[1.0]
1.3102,278.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.3343,283.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.348,288.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.3623,293.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.3774,298.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.395,303.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.4086,308.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.4197,313.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.4349,318.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.4481,323.15,Log solubility,g/L,"[125.0, 131.0]","[0.260721, 0.7392789999999999]",[0],[1.0]
1.4402,278.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.4608,283.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.4725,288.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.4868,293.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5029,298.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5161,303.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.524,308.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5374,313.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5475,318.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5651,323.15,Log solubility,g/L,"[125.0, 131.0]","[0.45148299999999997, 0.548517]",[0],[1.0]
1.5513,278.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.5715,283.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.5832,288.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.5921,293.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.6071,298.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.619,303.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.6289,308.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.6385,313.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.652,318.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.6634,323.15,Log solubility,g/L,"[125.0, 131.0]","[0.657008, 0.34299199999999996]",[0],[1.0]
1.639,278.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.6594,283.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.6685,288.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.6728,293.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.6883,298.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.6978,303.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.7053,308.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.7194,313.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.7298,318.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.7328,323.15,Log solubility,g/L,"[125.0, 131.0]","[0.880938, 0.119062]",[0],[1.0]
1.0181,278.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.0464,283.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.0943,288.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.118,293.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.1628,298.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.1962,303.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.2234,308.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.2466,313.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.2824,318.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
1.306,323.15,Log solubility,g/L,"[126.0, 131.0]","[0.080747, 0.9192529999999999]",[0],[1.0]
